mm,nits
17.73741,25.55602
17.75322,25.80659
17.76902,24.86444
17.78483,24.75941
17.80064,25.97067
17.81645,25.81573
17.83226,25.44651
17.84807,25.86963
17.86388,26.69625
17.87968,25.76482
17.89549,25.80261
17.9113,26.24839
17.92711,26.77838
17.94292,26.46437
17.95873,26.25287
17.97454,27.07086
17.99035,27.20248
18.00616,27.12642
18.02196,28.14712
18.03777,28.59115
18.05358,28.62287
18.06939,28.97653
18.0852,28.60555
18.10101,29.42853
18.11682,29.56514
18.13263,28.99059
18.14843,29.81948
18.16424,30.31578
18.18005,30.49434
18.19586,29.9816
18.21167,31.04486
18.22748,31.23206
18.24329,30.87208
18.25909,30.49762
18.2749,31.5762
18.29071,31.66635
18.30652,31.80717
18.32233,31.71422
18.33814,32.43181
18.35395,32.55152
18.36976,32.33094
18.38556,32.31136
18.40137,33.95984
18.41718,32.61178
18.43299,31.93554
18.4488,32.81841
18.46461,33.20038
18.48042,32.93919
18.49623,32.74974
18.51204,32.65483
18.52784,33.59881
18.54365,32.49799
18.55946,32.68394
18.57527,33.48192
18.59108,33.47998
18.60689,32.27748
18.6227,32.47046
18.6385,33.20925
18.65431,33.25011
18.67012,31.72658
18.68593,32.40049
18.70174,32.99525
18.71755,32.44654
18.73336,32.30362
18.74917,32.94186
18.76497,33.40434
18.78078,32.68768
18.79659,31.98089
18.8124,33.80639
18.82821,33.43129
18.84402,32.34946
18.85983,32.25865
18.87564,33.42618
18.89145,33.31476
18.90725,32.3366
18.92306,33.2199
18.93887,34.15912
18.95468,33.13006
18.97049,33.27439
18.9863,33.8043
19.00211,35.2855
19.01791,34.25749
19.03372,33.99154
19.04953,34.85056
19.06534,35.08617
19.08115,34.46192
19.09696,34.07383
19.11277,35.49422
19.12858,35.23352
19.14438,34.11632
19.16019,34.58932
19.176,35.25399
19.19181,35.10937
19.20762,34.32026
19.22343,34.3386
19.23924,35.31266
19.25504,34.94258
19.27085,34.74138
19.28666,34.5643
19.30247,35.18772
19.31828,34.36731
19.33409,34.03691
19.3499,34.86021
19.36571,35.35889
19.38152,33.56711
19.39732,33.91574
19.41313,34.53029
19.42894,34.31178
19.44475,33.07601
19.46056,33.59515
19.47637,34.33185
19.49218,33.45648
19.50799,32.42878
19.52379,33.39865
19.5396,33.49263
19.55541,32.89109
19.57122,32.65099
19.58703,32.86283
19.60284,33.28633
19.61865,31.92651
19.63445,32.08094
19.65026,32.50611
19.66607,32.26576
19.68188,31.54518
19.69769,31.54212
19.7135,32.5372
19.72931,31.95572
19.74512,31.09123
19.76093,31.14529
19.77673,31.69696
19.79254,31.10402
19.80835,30.19621
19.82416,30.73099
19.83997,31.12944
19.85578,30.79492
19.87159,30.20189
19.8874,30.71043
19.9032,30.6951
19.91901,30.03088
19.93482,30.54933
19.95063,30.65495
19.96644,30.8678
19.98225,30.2993
19.99806,30.19797
20.01386,30.26254
20.02967,30.10217
20.04548,29.46886
20.06129,29.464
20.0771,30.56295
20.09291,29.51194
20.10872,29.18856
20.12453,29.48561
20.14034,29.29243
20.15614,29.20732
20.17195,28.294
20.18776,29.00781
20.20357,28.80787
20.21938,27.96529
20.23519,27.89874
20.251,28.16866
20.26681,27.97731
20.28261,27.09028
20.29842,27.48244
20.31423,27.76867
20.33004,27.13794
20.34585,27.22544
20.36166,26.7105
20.37747,26.85383
20.39327,25.5655
20.40908,25.00139
20.42489,25.72165
20.4407,25.49113
20.45651,24.89184
20.47232,24.86368
20.48813,25.08987
20.50394,24.50866
20.51974,23.46
20.53555,23.91148
20.55136,23.97867
20.56717,23.6703
20.58298,23.00933
20.59879,23.27048
20.6146,23.23624
20.63041,23.19552
20.64622,22.23907
20.66202,22.91184
20.67783,23.03202
20.69364,23.16799
20.70945,22.35252
20.72526,22.13971
20.74107,23.301
20.75688,22.18612
20.77268,22.00452
20.78849,22.11265
20.8043,22.45252
20.82011,21.82588
20.83592,21.81894
20.85173,22.08481
20.86754,21.43145
20.88335,21.61589
20.89915,21.80195
20.91496,21.80765
20.93077,20.99159
20.94658,20.9389
20.96239,21.13394
20.9782,21.18166
20.99401,20.07399
21.00982,20.71424
21.02563,20.69069
21.04143,20.14254
21.05724,19.9301
21.07305,20.13029
